classificacao,genero,cor_ou_raca,estados,mes_pesquisa,semana_do_mes,febre,tosse,dor_de_garganta,dificuldade_respirar,dor_no_peito,nariz_escorrendo_entupido,fadiga,perda_de_ofato_sabor,dores_musculares,diarreia
0-12 Criança,Mulher,Preta,Tocantins,7,3,0,1,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Branca,Tocantins,7,2,0,0,0,1,0,0,0,0,0,0
26-59 Adulto,Mulher,Branca,Tocantins,7,1,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Parda,Tocantins,7,2,1,0,0,1,0,1,1,1,1,1
18-25 Jovem ,Homem,Parda,Tocantins,7,2,1,0,1,0,0,1,0,0,0,0
18-25 Jovem ,Mulher,Branca,Tocantins,7,3,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Parda,Tocantins,7,3,3,1,3,1,0,0,1,1,1,1
13-17 Adolescente,Mulher,Parda,Tocantins,7,3,0,0,1,0,0,0,0,0,0,0
60+ Idoso,Homem,Preta,Tocantins,7,2,1,1,1,0,1,2,1,1,0,0
60+ Idoso,Mulher,Parda,Tocantins,7,1,0,1,0,1,0,0,1,0,2,2
60+ Idoso,Homem,Parda,Tocantins,7,4,2,1,0,2,2,4,2,0,3,3
13-17 Adolescente,Homem,Parda,Tocantins,7,2,0,1,0,0,0,1,0,0,0,0
18-25 Jovem ,Mulher,Branca,Tocantins,7,2,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Preta,Tocantins,7,3,1,1,1,0,0,0,0,0,1,1
60+ Idoso,Homem,Branca,Tocantins,7,4,2,0,0,1,1,0,0,1,2,2
60+ Idoso,Mulher,Branca,Tocantins,7,4,0,0,1,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Branca,Tocantins,7,1,0,1,0,0,0,1,0,0,0,0
18-25 Jovem ,Homem,Branca,Tocantins,7,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Preta,Tocantins,7,2,0,0,0,0,0,1,0,0,0,0
18-25 Jovem ,Mulher,Preta,Tocantins,7,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Preta,Tocantins,7,3,0,0,1,0,0,1,0,0,0,0
13-17 Adolescente,Homem,Parda,Tocantins,7,1,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Preta,Tocantins,7,1,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Preta,Tocantins,7,1,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Branca,Tocantins,7,1,0,0,0,0,0,1,0,0,0,0
18-25 Jovem ,Homem,Preta,Tocantins,7,1,0,0,1,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Branca,Tocantins,7,1,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Amarela,Tocantins,7,2,0,0,0,0,0,0,0,0,1,1
60+ Idoso,Homem,Preta,Tocantins,7,4,0,0,0,1,0,0,0,0,1,1
13-17 Adolescente,Homem,Branca,Tocantins,7,3,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Preta,Tocantins,7,2,1,2,2,0,0,1,1,2,1,1
18-25 Jovem ,Mulher,Preta,Tocantins,7,4,0,0,0,0,0,0,0,0,1,1
60+ Idoso,Mulher,Preta,Tocantins,7,1,0,0,0,0,0,0,0,0,1,1
60+ Idoso,Homem,Indígena,Tocantins,7,1,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Branca,Tocantins,7,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Branca,Tocantins,7,1,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Preta,Tocantins,7,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Indígena,Tocantins,7,3,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Preta,Tocantins,7,4,1,1,1,1,1,0,1,0,1,1
60+ Idoso,Mulher,Amarela,Tocantins,7,1,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Preta,Tocantins,7,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Preta,Tocantins,7,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Amarela,Tocantins,7,1,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Preta,Tocantins,7,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Indígena,Tocantins,7,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Indígena,Tocantins,7,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Indígena,Tocantins,7,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Indígena,Tocantins,7,2,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Indígena,Tocantins,7,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Indígena,Tocantins,7,3,0,1,0,1,1,0,0,0,1,1
13-17 Adolescente,Mulher,Preta,Tocantins,7,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Branca,Tocantins,7,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Indígena,Tocantins,7,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Amarela,Tocantins,7,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Amarela,Tocantins,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Amarela,Tocantins,7,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Amarela,Tocantins,7,2,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Amarela,Tocantins,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Amarela,Tocantins,7,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Indígena,Tocantins,7,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Indígena,Tocantins,7,1,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Amarela,Tocantins,7,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Amarela,Tocantins,7,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Amarela,Tocantins,7,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Amarela,Tocantins,7,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Amarela,Tocantins,7,2,1,1,1,1,0,1,1,1,1,1
0-12 Criança,Mulher,Amarela,Tocantins,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Indígena,Tocantins,7,3,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Amarela,Tocantins,7,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Amarela,Tocantins,7,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Indígena,Tocantins,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Indígena,Tocantins,7,1,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Amarela,Tocantins,7,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Amarela,Tocantins,7,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Amarela,Tocantins,7,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Indígena,Tocantins,7,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Amarela,Tocantins,7,3,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Amarela,Tocantins,7,4,1,1,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Amarela,Tocantins,7,4,1,1,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Parda,Maranhão,7,3,23,17,21,6,8,29,16,12,19,19
18-25 Jovem ,Mulher,Preta,Maranhão,7,3,1,1,1,0,1,2,1,2,2,2
0-12 Criança,Mulher,Parda,Maranhão,7,3,4,5,8,0,0,9,1,5,4,4
13-17 Adolescente,Mulher,Preta,Maranhão,7,3,1,0,1,0,0,0,0,1,0,0
26-59 Adulto,Homem,Parda,Maranhão,7,3,24,27,21,5,8,15,12,16,21,21
0-12 Criança,Homem,Parda,Maranhão,7,3,6,6,6,1,1,10,1,3,2,2
18-25 Jovem ,Homem,Parda,Maranhão,7,3,3,4,5,1,1,3,2,3,1,1
26-59 Adulto,Homem,Parda,Maranhão,7,1,28,22,16,9,12,13,17,12,17,17
18-25 Jovem ,Mulher,Parda,Maranhão,7,3,7,4,8,2,3,7,1,3,5,5
26-59 Adulto,Homem,Parda,Maranhão,7,2,24,20,17,5,5,14,6,13,14,14
26-59 Adulto,Mulher,Parda,Maranhão,7,2,20,20,19,9,8,19,15,16,26,26
26-59 Adulto,Mulher,Parda,Maranhão,7,1,25,19,27,9,15,29,14,20,19,19
26-59 Adulto,Mulher,Preta,Maranhão,7,2,3,3,4,1,1,5,3,4,4,4
60+ Idoso,Homem,Preta,Maranhão,7,2,1,1,0,0,0,1,1,0,1,1
18-25 Jovem ,Homem,Parda,Maranhão,7,2,2,3,2,0,0,2,0,1,0,0
26-59 Adulto,Homem,Branca,Maranhão,7,2,3,9,4,4,3,6,4,3,6,6
60+ Idoso,Homem,Branca,Maranhão,7,3,1,3,0,0,0,3,0,0,2,2
60+ Idoso,Mulher,Parda,Maranhão,7,3,9,11,7,2,4,7,6,5,10,10
60+ Idoso,Homem,Parda,Maranhão,7,3,7,11,6,6,5,5,9,6,7,7
26-59 Adulto,Homem,Branca,Maranhão,7,3,4,3,0,1,0,3,4,4,5,5
60+ Idoso,Mulher,Branca,Maranhão,7,2,0,0,1,0,1,1,2,0,2,2
60+ Idoso,Homem,Branca,Maranhão,7,2,0,0,0,1,0,0,1,0,2,2
26-59 Adulto,Mulher,Preta,Maranhão,7,3,8,6,2,3,2,5,2,3,4,4
26-59 Adulto,Homem,Branca,Maranhão,7,4,6,2,4,2,1,3,2,4,5,5
26-59 Adulto,Mulher,Preta,Maranhão,7,4,1,3,2,0,0,1,2,3,1,1
0-12 Criança,Homem,Branca,Maranhão,7,4,2,1,1,0,0,1,0,0,0,0
60+ Idoso,Mulher,Parda,Maranhão,7,1,10,13,6,3,4,6,9,5,9,9
60+ Idoso,Mulher,Preta,Maranhão,7,1,1,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Preta,Maranhão,7,2,0,0,1,0,0,0,0,1,1,1
26-59 Adulto,Homem,Preta,Maranhão,7,2,2,8,6,1,1,6,2,4,5,5
60+ Idoso,Mulher,Parda,Maranhão,7,2,6,5,3,2,0,3,2,4,8,8
26-59 Adulto,Mulher,Branca,Maranhão,7,2,6,8,4,4,5,6,5,6,9,9
0-12 Criança,Homem,Branca,Maranhão,7,2,1,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Parda,Maranhão,7,1,9,3,5,2,1,3,3,7,5,5
0-12 Criança,Homem,Branca,Maranhão,7,1,1,0,1,0,1,1,0,0,0,0
26-59 Adulto,Homem,Preta,Maranhão,7,1,4,4,3,1,1,7,1,4,3,3
26-59 Adulto,Homem,Preta,Maranhão,7,4,3,4,2,0,0,1,0,2,0,0
26-59 Adulto,Mulher,Parda,Maranhão,7,4,27,28,27,9,11,27,18,18,25,25
26-59 Adulto,Homem,Parda,Maranhão,7,4,22,20,19,8,10,23,13,12,23,23
26-59 Adulto,Mulher,Branca,Maranhão,7,4,9,5,8,4,3,10,9,6,10,10
13-17 Adolescente,Homem,Parda,Maranhão,7,2,6,6,6,1,1,5,2,3,5,5
0-12 Criança,Mulher,Branca,Maranhão,7,2,2,3,3,1,1,2,1,1,1,1
0-12 Criança,Mulher,Parda,Maranhão,7,1,4,5,4,1,2,5,1,1,2,2
26-59 Adulto,Homem,Preta,Maranhão,7,3,6,5,9,1,4,7,2,5,8,8
60+ Idoso,Homem,Parda,Maranhão,7,1,4,8,2,5,2,4,5,5,6,6
26-59 Adulto,Mulher,Branca,Maranhão,7,3,8,5,4,2,2,3,3,8,5,5
0-12 Criança,Homem,Parda,Maranhão,7,1,4,4,3,2,1,3,2,0,3,3
13-17 Adolescente,Homem,Parda,Maranhão,7,4,5,2,2,1,2,4,2,2,1,1
18-25 Jovem ,Homem,Branca,Maranhão,7,4,1,0,0,0,0,2,0,1,1,1
60+ Idoso,Homem,Preta,Maranhão,7,1,0,1,1,1,2,0,1,0,1,1
18-25 Jovem ,Mulher,Preta,Maranhão,7,2,0,1,0,0,0,2,1,1,0,0
18-25 Jovem ,Mulher,Branca,Maranhão,7,3,1,1,0,0,0,2,1,2,1,1
18-25 Jovem ,Homem,Parda,Maranhão,7,4,7,4,4,1,0,5,1,2,2,2
13-17 Adolescente,Mulher,Branca,Maranhão,7,4,2,2,2,1,1,2,1,3,1,1
26-59 Adulto,Mulher,Preta,Maranhão,7,1,5,6,4,1,4,5,3,3,5,5
13-17 Adolescente,Mulher,Preta,Maranhão,7,1,0,0,1,0,0,0,0,0,1,1
0-12 Criança,Mulher,Preta,Maranhão,7,1,0,1,0,0,0,1,0,0,0,0
18-25 Jovem ,Mulher,Parda,Maranhão,7,2,6,3,7,0,1,3,2,5,4,4
0-12 Criança,Homem,Parda,Maranhão,7,2,10,7,4,0,0,5,1,2,5,5
18-25 Jovem ,Homem,Branca,Maranhão,7,2,2,2,1,1,1,2,1,1,1,1
60+ Idoso,Mulher,Parda,Maranhão,7,4,5,7,3,2,2,7,4,1,5,5
18-25 Jovem ,Mulher,Branca,Maranhão,7,4,2,2,2,0,0,1,0,1,0,0
18-25 Jovem ,Mulher,Preta,Maranhão,7,1,3,3,3,0,0,1,0,2,2,2
60+ Idoso,Homem,Parda,Maranhão,7,2,7,6,2,0,3,4,2,5,8,8
18-25 Jovem ,Mulher,Branca,Maranhão,7,2,3,2,3,0,3,3,1,1,1,1
0-12 Criança,Mulher,Branca,Maranhão,7,4,5,1,2,0,0,1,0,0,0,0
13-17 Adolescente,Mulher,Parda,Maranhão,7,4,8,4,7,0,2,7,3,4,4,4
26-59 Adulto,Homem,Branca,Maranhão,7,1,4,3,5,3,2,2,4,4,3,3
26-59 Adulto,Mulher,Branca,Maranhão,7,1,2,3,2,2,2,4,5,3,5,5
18-25 Jovem ,Mulher,Branca,Maranhão,7,1,1,1,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Branca,Maranhão,7,1,2,1,1,0,0,2,0,1,0,0
26-59 Adulto,Homem,Indígena,Maranhão,7,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Indígena,Maranhão,7,1,0,0,0,0,0,0,0,0,1,1
18-25 Jovem ,Homem,Parda,Maranhão,7,1,7,5,5,1,2,4,3,7,3,3
60+ Idoso,Mulher,Preta,Maranhão,7,4,1,1,1,0,0,0,0,0,2,2
0-12 Criança,Homem,Parda,Maranhão,7,4,4,9,7,1,2,9,1,1,2,2
60+ Idoso,Homem,Preta,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Parda,Maranhão,7,4,5,8,5,2,3,4,2,4,8,8
0-12 Criança,Mulher,Parda,Maranhão,7,2,6,2,2,0,0,2,1,1,4,4
18-25 Jovem ,Mulher,Parda,Maranhão,7,4,4,7,8,3,2,8,4,5,5,5
60+ Idoso,Mulher,Branca,Maranhão,7,1,1,4,2,1,3,1,3,1,5,5
13-17 Adolescente,Mulher,Branca,Maranhão,7,1,3,1,0,0,1,0,0,3,0,0
0-12 Criança,Mulher,Branca,Maranhão,7,1,2,0,1,0,0,1,0,0,0,0
0-12 Criança,Mulher,Preta,Maranhão,7,4,3,2,3,1,1,2,2,1,1,1
0-12 Criança,Homem,Branca,Maranhão,7,3,0,1,0,0,0,1,0,0,0,0
0-12 Criança,Homem,Preta,Maranhão,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Branca,Maranhão,7,3,1,1,1,0,0,3,0,1,0,0
60+ Idoso,Homem,Branca,Maranhão,7,4,0,1,0,0,0,1,1,0,0,0
0-12 Criança,Mulher,Parda,Maranhão,7,4,11,11,9,2,3,15,3,4,3,3
13-17 Adolescente,Homem,Branca,Maranhão,7,2,1,1,1,1,1,2,1,1,1,1
13-17 Adolescente,Mulher,Parda,Maranhão,7,2,5,6,4,1,1,6,3,6,3,3
13-17 Adolescente,Mulher,Branca,Maranhão,7,3,1,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Branca,Maranhão,7,3,1,2,1,0,1,4,3,0,1,1
60+ Idoso,Mulher,Preta,Maranhão,7,3,1,1,2,0,0,0,2,0,3,3
18-25 Jovem ,Homem,Preta,Maranhão,7,3,1,2,1,0,0,1,0,1,1,1
18-25 Jovem ,Homem,Branca,Maranhão,7,3,1,1,1,0,0,1,0,1,1,1
60+ Idoso,Mulher,Branca,Maranhão,7,4,1,3,1,0,0,2,0,0,3,3
18-25 Jovem ,Homem,Preta,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Branca,Maranhão,7,1,1,2,2,2,2,1,1,2,3,3
13-17 Adolescente,Mulher,Parda,Maranhão,7,1,3,2,1,2,2,3,1,2,1,1
13-17 Adolescente,Homem,Branca,Maranhão,7,1,0,0,1,0,0,0,0,0,0,0
60+ Idoso,Homem,Preta,Maranhão,7,3,2,1,0,0,0,1,0,0,4,4
13-17 Adolescente,Homem,Branca,Maranhão,7,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Parda,Maranhão,7,1,5,2,2,1,0,1,2,4,1,1
0-12 Criança,Mulher,Preta,Maranhão,7,2,1,1,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Preta,Maranhão,7,2,0,2,2,0,0,2,1,0,0,0
13-17 Adolescente,Homem,Branca,Maranhão,7,4,2,1,2,0,0,1,0,1,0,0
18-25 Jovem ,Mulher,Preta,Maranhão,7,4,0,1,2,0,0,0,0,0,0,0
0-12 Criança,Homem,Preta,Maranhão,7,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Parda,Maranhão,7,3,7,3,3,1,1,5,3,2,5,5
60+ Idoso,Mulher,Indígena,Maranhão,7,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Parda,Maranhão,7,3,4,4,5,1,1,2,2,1,2,2
0-12 Criança,Homem,Preta,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Não respondeu,Maranhão,7,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Amarela,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Amarela,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Amarela,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Preta,Maranhão,7,2,1,1,1,1,1,0,1,0,1,1
26-59 Adulto,Mulher,Amarela,Maranhão,7,2,0,0,0,0,0,2,0,2,4,4
18-25 Jovem ,Homem,Amarela,Maranhão,7,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Amarela,Maranhão,7,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Branca,Maranhão,7,2,3,1,1,1,1,3,1,2,1,1
26-59 Adulto,Homem,Indígena,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Preta,Maranhão,7,2,0,1,1,0,0,0,1,0,0,0
13-17 Adolescente,Homem,Preta,Maranhão,7,1,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Preta,Maranhão,7,1,1,0,1,0,0,1,0,1,0,0
26-59 Adulto,Mulher,Amarela,Maranhão,7,3,3,0,2,0,1,1,1,3,2,2
0-12 Criança,Mulher,Preta,Maranhão,7,3,0,0,1,0,0,0,0,0,0,0
26-59 Adulto,Homem,Amarela,Maranhão,7,4,0,1,0,0,1,0,1,0,0,0
26-59 Adulto,Mulher,Indígena,Maranhão,7,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Preta,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Preta,Maranhão,7,3,1,1,1,0,0,2,1,1,1,1
0-12 Criança,Homem,Amarela,Maranhão,7,3,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Indígena,Maranhão,7,1,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Preta,Maranhão,7,2,2,1,0,0,0,2,1,1,0,0
18-25 Jovem ,Homem,Amarela,Maranhão,7,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Amarela,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Preta,Maranhão,7,4,0,1,0,0,0,1,0,0,0,0
18-25 Jovem ,Homem,Indígena,Maranhão,7,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Indígena,Maranhão,7,3,1,0,0,0,0,0,0,1,1,1
60+ Idoso,Mulher,Indígena,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Amarela,Maranhão,7,1,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Indígena,Maranhão,7,3,1,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Amarela,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Indígena,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Indígena,Maranhão,7,3,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Amarela,Maranhão,7,3,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Amarela,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Amarela,Maranhão,7,4,0,0,0,0,0,1,0,0,0,0
26-59 Adulto,Homem,Indígena,Maranhão,7,2,0,0,1,0,0,0,0,0,0,0
0-12 Criança,Homem,Indígena,Maranhão,7,2,1,0,1,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Indígena,Maranhão,7,2,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Amarela,Maranhão,7,2,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Amarela,Maranhão,7,1,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Amarela,Maranhão,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Amarela,Maranhão,7,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Amarela,Maranhão,7,1,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Amarela,Maranhão,7,1,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Indígena,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Amarela,Maranhão,7,3,2,2,2,0,0,1,1,1,1,1
26-59 Adulto,Homem,Amarela,Maranhão,7,3,1,1,2,0,0,0,0,1,1,1
18-25 Jovem ,Homem,Amarela,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Amarela,Maranhão,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Amarela,Maranhão,7,3,1,0,1,0,0,0,0,0,0,0
26-59 Adulto,Homem,Indígena,Maranhão,7,3,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Amarela,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Amarela,Maranhão,7,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Amarela,Maranhão,7,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Indígena,Maranhão,7,2,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Indígena,Maranhão,7,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Amarela,Maranhão,7,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Indígena,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Amarela,Maranhão,7,3,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Amarela,Maranhão,7,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Indígena,Maranhão,7,3,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Indígena,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Amarela,Maranhão,7,1,0,0,0,0,0,0,0,0,1,1
60+ Idoso,Mulher,Amarela,Maranhão,7,2,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Indígena,Maranhão,7,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Indígena,Maranhão,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Indígena,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Amarela,Maranhão,7,2,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Indígena,Maranhão,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Indígena,Maranhão,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Indígena,Maranhão,7,1,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Indígena,Maranhão,7,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Indígena,Maranhão,7,3,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Parda,Piauí,7,1,1,2,1,0,0,2,1,0,2,2
60+ Idoso,Mulher,Parda,Piauí,7,1,2,2,2,2,3,2,1,2,4,4
26-59 Adulto,Homem,Parda,Piauí,7,1,7,11,8,1,3,11,4,5,4,4
26-59 Adulto,Mulher,Branca,Piauí,7,3,0,0,4,1,0,0,1,1,2,2
60+ Idoso,Mulher,Branca,Piauí,7,3,1,0,1,0,0,1,0,0,0,0
26-59 Adulto,Homem,Branca,Piauí,7,3,0,0,0,1,0,1,0,0,0,0
60+ Idoso,Homem,Parda,Piauí,7,2,0,1,1,0,0,1,0,1,0,0
60+ Idoso,Mulher,Parda,Piauí,7,2,2,0,1,0,0,1,2,0,3,3
26-59 Adulto,Mulher,Parda,Piauí,7,2,8,8,6,2,3,8,6,5,5,5
0-12 Criança,Homem,Parda,Piauí,7,2,3,1,1,0,0,2,0,0,0,0
60+ Idoso,Mulher,Branca,Piauí,7,1,1,0,1,1,0,1,1,0,1,1
26-59 Adulto,Homem,Branca,Piauí,7,1,1,2,2,0,1,2,2,1,2,2
26-59 Adulto,Mulher,Parda,Piauí,7,1,9,11,15,5,2,12,7,10,12,12
0-12 Criança,Mulher,Parda,Piauí,7,1,2,0,3,0,0,2,0,0,0,0
60+ Idoso,Homem,Parda,Piauí,7,3,0,2,2,0,0,1,0,0,4,4
26-59 Adulto,Mulher,Parda,Piauí,7,3,9,2,3,4,3,5,7,4,10,10
26-59 Adulto,Homem,Parda,Piauí,7,3,6,5,5,0,3,4,3,4,7,7
60+ Idoso,Homem,Preta,Piauí,7,3,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Branca,Piauí,7,3,1,1,1,0,1,1,1,0,1,1
26-59 Adulto,Mulher,Parda,Piauí,7,4,7,6,7,2,2,7,8,4,10,10
26-59 Adulto,Homem,Branca,Piauí,7,4,2,0,1,2,1,3,1,2,2,2
0-12 Criança,Mulher,Parda,Piauí,7,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Branca,Piauí,7,2,2,2,1,0,0,2,2,2,2,2
26-59 Adulto,Homem,Parda,Piauí,7,4,5,4,4,1,0,6,3,0,6,6
26-59 Adulto,Mulher,Branca,Piauí,7,2,5,4,4,3,2,4,5,2,7,7
