classificacao,genero,estados,mes_pesquisa,semana_do_mes,foi_estabelecimento_saude,nao_foi_estabelecimento_saude,ignorou_os_sintomas,hospital_sus,nao_era_um_hospital_sus,nao_respondeu,atenidento_pivado_ou_militar,nao_buscou_atendimento_privado,nao_respondeu_atendiento_privado,fez_exame_SWAB,nao_fez_exame_SWAB,resultado_positivo,resultado_negativo,resultado_inconclusivo,ainda_sem_resultado,tem_doencas_respiratorias,nao_tem_doencas_respiratorias,ignorou_doencas_respiratorias
26-59 Adulto,Homem,Esperito Santo,7,1,16,51,0,3,13,0,0,16,0,42,43,17,25,0,0,44,803,4
26-59 Adulto,Homem,Esperito Santo,7,3,15,51,0,1,14,0,2,13,0,31,57,14,15,2,0,34,854,8
26-59 Adulto,Mulher,Esperito Santo,7,3,23,63,0,0,23,0,3,20,0,48,56,23,21,0,4,79,876,9
18-25 Jovem ,Mulher,Esperito Santo,7,3,5,11,0,0,5,0,0,5,0,8,7,4,4,0,0,17,209,1
13-17 Adolescente,Homem,Esperito Santo,7,3,1,6,0,0,1,0,0,1,0,1,2,1,0,0,0,8,122,1
60+ Idoso,Homem,Esperito Santo,7,3,4,20,0,0,4,0,0,4,0,7,17,1,4,0,2,14,283,4
18-25 Jovem ,Homem,Esperito Santo,7,3,2,8,0,0,2,0,0,2,0,2,10,1,1,0,0,12,194,2
60+ Idoso,Mulher,Esperito Santo,7,4,8,26,0,2,6,0,0,8,0,9,19,5,3,0,1,26,343,2
60+ Idoso,Homem,Esperito Santo,7,4,3,20,0,0,3,0,0,3,0,6,9,4,2,0,0,9,273,2
26-59 Adulto,Mulher,Esperito Santo,7,1,25,78,0,5,20,0,3,22,0,44,32,16,24,1,3,61,860,3
13-17 Adolescente,Mulher,Esperito Santo,7,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,14,100,0
26-59 Adulto,Homem,Esperito Santo,7,2,13,44,0,2,11,0,0,13,0,26,39,8,17,0,1,33,836,8
26-59 Adulto,Mulher,Esperito Santo,7,2,13,90,0,2,11,0,1,12,0,35,35,14,18,1,2,67,882,10
0-12 Criança,Mulher,Esperito Santo,7,2,3,9,0,0,3,0,1,2,0,3,2,0,3,0,0,30,255,7
60+ Idoso,Mulher,Esperito Santo,7,2,3,27,0,2,1,0,0,3,0,11,13,3,8,0,0,29,335,5
0-12 Criança,Homem,Esperito Santo,7,2,5,10,0,0,5,0,0,5,0,2,3,0,2,0,0,23,267,4
26-59 Adulto,Homem,Esperito Santo,7,4,14,40,0,0,14,0,0,14,0,39,63,10,29,0,0,37,857,6
26-59 Adulto,Mulher,Esperito Santo,7,4,21,64,0,2,19,0,1,20,0,52,56,22,27,1,2,71,951,6
13-17 Adolescente,Mulher,Esperito Santo,7,4,0,10,0,0,0,0,0,0,0,2,3,1,1,0,0,7,107,1
60+ Idoso,Homem,Esperito Santo,7,2,0,14,0,0,0,0,0,0,0,6,12,0,6,0,0,10,273,1
60+ Idoso,Homem,Esperito Santo,7,1,7,17,0,1,6,0,0,7,0,12,8,1,11,0,0,16,282,2
0-12 Criança,Mulher,Esperito Santo,7,1,2,14,0,1,1,0,0,2,0,3,3,0,2,1,0,28,259,2
13-17 Adolescente,Mulher,Esperito Santo,7,3,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,9,97,1
0-12 Criança,Mulher,Esperito Santo,7,3,4,16,0,2,2,0,0,4,0,1,4,1,0,0,0,29,262,6
0-12 Criança,Homem,Esperito Santo,7,3,3,10,0,0,3,0,0,3,0,2,6,0,2,0,0,35,266,4
0-12 Criança,Mulher,Esperito Santo,7,4,3,11,0,0,3,0,0,3,0,1,2,0,0,0,1,32,289,1
18-25 Jovem ,Homem,Esperito Santo,7,2,3,14,0,0,3,0,0,3,0,3,5,0,2,0,1,17,172,1
0-12 Criança,Homem,Esperito Santo,7,4,1,5,0,0,1,0,0,1,0,4,1,0,4,0,0,42,284,0
18-25 Jovem ,Mulher,Esperito Santo,7,4,0,8,0,0,0,0,0,0,0,6,3,1,4,0,1,8,178,1
18-25 Jovem ,Homem,Esperito Santo,7,4,0,10,0,0,0,0,0,0,0,7,3,2,5,0,0,14,207,2
13-17 Adolescente,Mulher,Esperito Santo,7,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,96,1
18-25 Jovem ,Mulher,Esperito Santo,7,2,4,16,0,0,4,0,0,4,0,4,7,1,2,0,1,16,188,5
13-17 Adolescente,Homem,Esperito Santo,7,4,0,6,0,0,0,0,0,0,0,3,0,1,2,0,0,15,124,0
13-17 Adolescente,Homem,Esperito Santo,7,2,2,3,0,1,1,0,0,2,0,1,2,0,1,0,0,10,115,0
18-25 Jovem ,Mulher,Esperito Santo,7,1,1,15,0,0,1,0,0,1,0,4,7,1,3,0,0,11,175,0
13-17 Adolescente,Homem,Esperito Santo,7,1,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,11,115,0
0-12 Criança,Homem,Esperito Santo,7,1,2,19,0,0,2,0,0,2,0,0,4,0,0,0,0,37,247,3
18-25 Jovem ,Homem,Esperito Santo,7,1,0,10,0,0,0,0,0,0,0,3,6,1,2,0,0,13,194,0
26-59 Adulto,Homem,Rio de Janeiro,7,3,11,46,0,1,10,0,1,10,0,35,111,5,29,0,1,75,1509,7
60+ Idoso,Mulher,Rio de Janeiro,7,3,6,45,0,1,5,0,0,6,0,17,45,4,10,0,3,63,869,7
26-59 Adulto,Homem,Rio de Janeiro,7,4,12,41,0,2,10,0,0,11,1,43,117,6,37,0,0,75,1519,11
26-59 Adulto,Mulher,Rio de Janeiro,7,4,18,76,0,4,14,0,3,15,0,30,122,8,22,0,0,140,1741,20
18-25 Jovem ,Mulher,Rio de Janeiro,7,4,2,10,0,0,2,0,0,2,0,6,12,1,5,0,0,30,344,3
60+ Idoso,Mulher,Rio de Janeiro,7,1,10,37,0,1,9,0,0,10,0,13,34,3,10,0,0,56,907,4
60+ Idoso,Homem,Rio de Janeiro,7,4,7,25,0,1,6,0,0,7,0,6,36,0,6,0,0,27,670,4
0-12 Criança,Mulher,Rio de Janeiro,7,4,3,8,0,0,3,0,0,3,0,1,9,1,0,0,0,42,415,3
0-12 Criança,Homem,Rio de Janeiro,7,4,4,8,0,1,3,0,0,4,0,2,6,1,0,0,1,50,431,5
26-59 Adulto,Mulher,Rio de Janeiro,7,2,24,90,0,2,21,1,1,22,1,43,118,10,28,2,3,126,1734,7
0-12 Criança,Mulher,Rio de Janeiro,7,2,2,12,0,1,1,0,0,2,0,1,8,1,0,0,0,39,443,1
26-59 Adulto,Homem,Rio de Janeiro,7,1,11,50,0,1,10,0,1,10,0,50,95,16,32,0,2,58,1469,10
60+ Idoso,Mulher,Rio de Janeiro,7,2,8,37,0,2,6,0,0,8,0,18,40,5,12,0,1,55,942,1
26-59 Adulto,Mulher,Rio de Janeiro,7,3,19,74,0,4,14,1,2,16,1,65,118,24,38,0,3,127,1704,11
13-17 Adolescente,Mulher,Rio de Janeiro,7,3,0,6,0,0,0,0,0,0,0,2,2,0,2,0,0,8,186,1
26-59 Adulto,Homem,Rio de Janeiro,7,2,16,41,0,2,14,0,1,15,0,63,116,13,44,2,4,62,1532,7
60+ Idoso,Homem,Rio de Janeiro,7,2,9,19,0,2,7,0,0,9,0,11,37,5,4,0,2,31,642,0
60+ Idoso,Homem,Rio de Janeiro,7,3,8,21,0,3,5,0,0,8,0,7,36,2,4,0,1,28,582,6
26-59 Adulto,Mulher,Rio de Janeiro,7,1,21,78,0,4,16,1,2,18,1,42,117,12,27,1,2,118,1738,14
18-25 Jovem ,Mulher,Rio de Janeiro,7,3,6,11,0,0,6,0,1,5,0,5,19,1,2,0,2,23,349,4
60+ Idoso,Homem,Rio de Janeiro,7,1,4,24,0,2,2,0,0,4,0,12,28,3,9,0,0,35,624,5
13-17 Adolescente,Mulher,Rio de Janeiro,7,1,0,2,0,0,0,0,0,0,0,1,7,0,1,0,0,19,202,1
18-25 Jovem ,Homem,Rio de Janeiro,7,4,1,9,0,0,1,0,0,1,0,3,21,0,3,0,0,26,373,5
60+ Idoso,Mulher,Rio de Janeiro,7,4,6,37,0,1,5,0,0,6,0,14,48,4,10,0,0,61,888,7
0-12 Criança,Homem,Rio de Janeiro,7,2,2,8,0,0,2,0,0,2,0,3,7,2,1,0,0,49,447,2
18-25 Jovem ,Homem,Rio de Janeiro,7,2,0,10,0,0,0,0,0,0,0,10,22,2,7,0,1,34,348,0
13-17 Adolescente,Homem,Rio de Janeiro,7,4,1,6,0,1,0,0,0,1,0,2,5,2,0,0,0,19,201,3
13-17 Adolescente,Mulher,Rio de Janeiro,7,2,2,2,0,1,1,0,0,2,0,2,0,0,2,0,0,17,197,2
0-12 Criança,Homem,Rio de Janeiro,7,1,5,14,0,1,4,0,0,5,0,2,5,1,1,0,0,41,438,2
18-25 Jovem ,Homem,Rio de Janeiro,7,3,4,13,0,2,2,0,0,4,0,7,13,2,5,0,0,31,333,3
13-17 Adolescente,Homem,Rio de Janeiro,7,3,2,1,0,0,2,0,0,2,0,3,6,0,1,0,2,23,192,4
0-12 Criança,Mulher,Rio de Janeiro,7,1,1,10,0,0,1,0,0,1,0,0,7,0,0,0,0,27,405,2
0-12 Criança,Homem,Rio de Janeiro,7,3,4,11,0,1,3,0,0,4,0,5,4,1,2,0,2,38,420,1
0-12 Criança,Mulher,Rio de Janeiro,7,3,2,7,0,1,1,0,0,2,0,4,5,0,2,0,2,26,468,1
13-17 Adolescente,Homem,Rio de Janeiro,7,1,1,7,0,0,1,0,0,1,0,1,2,0,1,0,0,17,216,2
13-17 Adolescente,Mulher,Rio de Janeiro,7,4,1,9,0,0,1,0,0,1,0,0,5,0,0,0,0,20,197,4
18-25 Jovem ,Mulher,Rio de Janeiro,7,1,3,12,0,0,3,0,2,1,0,6,10,2,4,0,0,21,344,2
18-25 Jovem ,Homem,Rio de Janeiro,7,1,3,15,0,1,2,0,0,3,0,4,12,0,4,0,0,24,358,3
13-17 Adolescente,Homem,Rio de Janeiro,7,2,2,7,0,0,2,0,0,2,0,0,6,0,0,0,0,14,221,0
18-25 Jovem ,Mulher,Rio de Janeiro,7,2,5,11,0,3,2,0,1,4,0,10,7,2,7,0,1,19,314,2
60+ Idoso,Mulher,Paraná,7,3,7,40,0,0,7,0,0,7,0,6,8,2,4,0,0,34,492,0
26-59 Adulto,Mulher,Paraná,7,3,30,95,0,5,25,0,1,29,0,53,55,5,41,0,7,78,1281,2
60+ Idoso,Homem,Paraná,7,3,6,23,0,1,5,0,0,6,0,5,11,2,3,0,0,23,431,1
26-59 Adulto,Mulher,Paraná,7,1,18,92,0,0,18,0,0,18,0,33,36,6,23,0,4,88,1132,5
26-59 Adulto,Homem,Paraná,7,1,13,55,0,0,13,0,1,12,0,35,26,6,26,0,3,61,1067,6
60+ Idoso,Mulher,Paraná,7,4,4,33,0,0,4,0,0,4,0,3,5,0,3,0,0,39,503,3
26-59 Adulto,Mulher,Paraná,7,2,27,92,0,3,23,1,1,25,1,42,39,5,32,0,5,68,1222,8
18-25 Jovem ,Mulher,Paraná,7,2,3,12,0,0,3,0,0,3,0,13,5,1,10,0,2,18,254,4
13-17 Adolescente,Mulher,Paraná,7,2,4,4,0,1,3,0,0,4,0,2,1,0,1,0,1,14,165,1
18-25 Jovem ,Mulher,Paraná,7,4,5,19,0,1,4,0,0,5,0,10,9,1,8,0,1,20,243,4
18-25 Jovem ,Homem,Paraná,7,4,6,12,0,0,6,0,0,6,0,12,7,4,8,0,0,23,249,2
26-59 Adulto,Mulher,Paraná,7,4,25,72,0,3,22,0,2,23,0,41,37,9,30,0,2,75,1199,6
26-59 Adulto,Homem,Paraná,7,4,18,54,0,2,16,0,0,18,0,40,43,9,29,0,2,51,1101,5
0-12 Criança,Mulher,Paraná,7,4,9,10,0,3,6,0,0,9,0,4,2,0,3,0,1,26,366,3
0-12 Criança,Homem,Paraná,7,4,3,14,0,1,2,0,0,3,0,4,2,0,3,0,1,34,371,2
26-59 Adulto,Homem,Paraná,7,3,18,47,0,0,18,0,0,18,0,37,46,4,27,0,6,53,1135,3
60+ Idoso,Mulher,Paraná,7,1,8,43,0,1,7,0,1,7,0,10,10,1,7,1,1,36,498,2
0-12 Criança,Mulher,Paraná,7,3,5,6,0,0,5,0,0,5,0,3,6,1,1,0,1,26,326,1
60+ Idoso,Homem,Paraná,7,2,10,24,0,1,9,0,0,10,0,5,8,1,4,0,0,24,401,1
60+ Idoso,Mulher,Paraná,7,2,8,28,0,2,6,0,0,8,0,2,10,0,2,0,0,44,477,1
26-59 Adulto,Homem,Paraná,7,2,18,67,0,2,16,0,0,18,0,30,37,8,20,0,2,66,1146,6
13-17 Adolescente,Homem,Paraná,7,2,1,9,0,0,1,0,0,1,0,2,4,1,1,0,0,19,165,0
18-25 Jovem ,Homem,Paraná,7,3,3,11,0,0,3,0,0,3,0,6,4,0,3,0,3,14,260,0
0-12 Criança,Homem,Paraná,7,3,6,13,0,1,5,0,0,6,0,1,5,0,1,0,0,38,386,2
13-17 Adolescente,Homem,Paraná,7,4,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,17,179,0
18-25 Jovem ,Mulher,Paraná,7,3,5,21,0,1,4,0,0,5,0,5,12,0,4,0,1,27,247,1
0-12 Criança,Homem,Paraná,7,2,5,5,0,0,5,0,0,5,0,3,2,0,2,0,1,33,350,4
0-12 Criança,Mulher,Paraná,7,2,6,12,0,0,6,0,0,6,0,3,4,1,0,0,2,24,372,4
13-17 Adolescente,Mulher,Paraná,7,3,2,7,0,0,2,0,0,2,0,1,0,0,0,0,1,14,178,0
0-12 Criança,Homem,Paraná,7,1,1,11,0,0,1,0,0,1,0,0,1,0,0,0,0,41,365,1
18-25 Jovem ,Homem,Paraná,7,2,4,10,0,0,4,0,0,4,0,3,4,1,1,0,1,20,248,1
60+ Idoso,Homem,Paraná,7,1,8,27,0,0,8,0,0,8,0,7,8,1,6,0,0,32,386,2
18-25 Jovem ,Homem,Paraná,7,1,3,14,0,1,2,0,0,3,0,6,5,0,6,0,0,26,261,1
60+ Idoso,Homem,Paraná,7,4,10,17,0,3,7,0,0,10,0,7,7,2,5,0,0,26,407,1
13-17 Adolescente,Homem,Paraná,7,1,0,7,0,0,0,0,0,0,0,1,1,0,1,0,0,17,142,1
13-17 Adolescente,Mulher,Paraná,7,1,1,4,0,0,1,0,0,1,0,0,1,0,0,0,0,11,135,0
18-25 Jovem ,Mulher,Paraná,7,1,3,13,0,0,3,0,0,3,0,2,4,1,1,0,0,14,228,1
0-12 Criança,Mulher,Paraná,7,1,3,8,0,0,3,0,0,3,0,1,0,0,1,0,0,25,297,2
13-17 Adolescente,Homem,Paraná,7,3,2,3,0,0,2,0,0,2,0,1,2,0,1,0,0,18,172,0
13-17 Adolescente,Mulher,Paraná,7,4,3,7,0,0,3,0,0,3,0,1,2,0,0,0,1,9,162,1
26-59 Adulto,Homem,Santa Catarina,7,3,17,55,1,0,17,0,0,17,0,24,59,11,13,0,0,58,1325,8
26-59 Adulto,Mulher,Santa Catarina,7,3,28,75,0,1,27,0,2,26,0,41,68,9,28,0,4,70,1422,8
0-12 Criança,Homem,Santa Catarina,7,3,2,7,0,0,2,0,0,2,0,2,4,1,1,0,0,24,366,3
60+ Idoso,Homem,Santa Catarina,7,3,7,21,0,0,7,0,0,7,0,8,14,1,7,0,0,36,499,5
60+ Idoso,Mulher,Santa Catarina,7,3,6,38,0,3,3,0,0,6,0,7,16,2,5,0,0,44,586,5
13-17 Adolescente,Homem,Santa Catarina,7,3,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,13,171,1
26-59 Adulto,Homem,Santa Catarina,7,4,29,57,0,4,24,1,1,27,1,50,66,14,30,0,6,43,1342,9
60+ Idoso,Mulher,Santa Catarina,7,4,8,29,0,0,7,1,0,7,1,8,15,0,7,0,1,37,573,6
26-59 Adulto,Mulher,Santa Catarina,7,2,30,80,0,4,26,0,1,28,1,39,52,6,26,0,7,74,1395,7
60+ Idoso,Mulher,Santa Catarina,7,1,6,32,0,0,6,0,0,6,0,11,4,2,9,0,0,50,523,7
60+ Idoso,Homem,Santa Catarina,7,2,6,17,0,2,4,0,0,6,0,4,11,0,3,1,0,26,505,4
60+ Idoso,Mulher,Santa Catarina,7,2,7,33,0,2,5,0,0,7,0,12,12,2,8,1,1,37,594,5
18-25 Jovem ,Homem,Santa Catarina,7,3,3,5,0,0,3,0,0,3,0,4,12,1,2,1,0,24,297,1
60+ Idoso,Homem,Santa Catarina,7,1,7,15,0,2,5,0,0,7,0,9,11,1,7,0,1,29,439,8
60+ Idoso,Homem,Santa Catarina,7,4,8,23,0,2,6,0,0,8,0,8,16,0,7,0,1,28,480,8
26-59 Adulto,Mulher,Santa Catarina,7,4,38,67,0,3,35,0,2,36,0,52,82,11,38,0,3,77,1442,8
26-59 Adulto,Mulher,Santa Catarina,7,1,21,72,0,4,16,1,2,18,1,37,48,8,26,1,2,76,1444,15
26-59 Adulto,Homem,Santa Catarina,7,2,21,46,0,6,15,0,2,19,0,39,42,8,30,0,1,48,1301,6
18-25 Jovem ,Mulher,Santa Catarina,7,2,8,8,0,1,7,0,1,7,0,10,4,3,5,0,2,16,277,0
26-59 Adulto,Homem,Santa Catarina,7,1,14,56,0,3,10,1,1,12,1,22,33,2,18,1,1,44,1298,12
0-12 Criança,Mulher,Santa Catarina,7,1,7,14,0,0,7,0,1,6,0,1,3,0,1,0,0,19,419,2
0-12 Criança,Mulher,Santa Catarina,7,3,3,4,0,0,3,0,0,3,0,4,6,1,3,0,0,11,393,0
18-25 Jovem ,Homem,Santa Catarina,7,2,5,11,0,1,4,0,0,5,0,2,11,1,0,0,1,13,289,3
13-17 Adolescente,Mulher,Santa Catarina,7,2,4,5,0,1,3,0,0,4,0,1,3,0,0,0,1,11,180,0
13-17 Adolescente,Mulher,Santa Catarina,7,4,1,4,0,0,1,0,0,1,0,0,2,0,0,0,0,11,174,2
18-25 Jovem ,Homem,Santa Catarina,7,1,3,9,0,0,3,0,0,3,0,3,8,0,3,0,0,15,299,0
18-25 Jovem ,Mulher,Santa Catarina,7,1,5,14,0,1,4,0,0,5,0,6,6,0,6,0,0,16,258,2
0-12 Criança,Homem,Santa Catarina,7,2,3,12,0,1,2,0,0,3,0,2,4,0,2,0,0,34,385,0
0-12 Criança,Mulher,Santa Catarina,7,2,2,8,0,0,2,0,0,2,0,1,3,0,1,0,0,22,395,0
13-17 Adolescente,Mulher,Santa Catarina,7,3,3,6,0,0,3,0,0,3,0,0,3,0,0,0,0,12,191,1
0-12 Criança,Homem,Santa Catarina,7,1,5,12,0,0,4,1,0,4,1,2,5,0,0,0,2,35,403,2
18-25 Jovem ,Homem,Santa Catarina,7,4,2,12,0,1,1,0,0,2,0,11,8,6,5,0,0,16,318,1
0-12 Criança,Mulher,Santa Catarina,7,4,4,9,0,1,3,0,0,4,0,3,4,1,2,0,0,16,393,4
13-17 Adolescente,Homem,Santa Catarina,7,2,0,4,0,0,0,0,0,0,0,5,5,1,4,0,0,11,144,0
13-17 Adolescente,Homem,Santa Catarina,7,4,1,6,0,0,1,0,0,1,0,2,4,1,0,0,1,19,174,0
0-12 Criança,Homem,Santa Catarina,7,4,3,15,0,2,1,0,0,3,0,5,5,1,4,0,0,25,402,3
18-25 Jovem ,Mulher,Santa Catarina,7,4,6,11,0,1,5,0,0,6,0,5,13,3,2,0,0,19,241,1
13-17 Adolescente,Mulher,Santa Catarina,7,1,1,3,0,0,1,0,0,1,0,2,3,0,2,0,0,5,157,1
18-25 Jovem ,Mulher,Santa Catarina,7,3,7,14,0,0,7,0,0,7,0,8,11,1,7,0,0,13,279,0
13-17 Adolescente,Homem,Santa Catarina,7,1,1,4,0,0,1,0,0,1,0,4,0,2,1,1,0,13,171,0
60+ Idoso,Homem,Rio Grande do Sul,7,1,5,47,0,2,3,0,0,5,0,1,10,0,1,0,0,53,533,0
60+ Idoso,Mulher,Rio Grande do Sul,7,1,11,56,0,2,9,0,0,11,0,6,8,0,6,0,0,77,626,2
26-59 Adulto,Mulher,Rio Grande do Sul,7,3,28,116,0,6,22,0,1,27,0,32,51,4,28,0,0,104,1275,7
60+ Idoso,Homem,Rio Grande do Sul,7,4,11,30,0,1,10,0,0,11,0,4,16,0,3,0,1,48,546,1
26-59 Adulto,Mulher,Rio Grande do Sul,7,1,30,107,0,5,25,0,1,29,0,24,59,1,23,0,0,110,1249,10
26-59 Adulto,Homem,Rio Grande do Sul,7,4,12,82,0,1,11,0,0,12,0,20,46,6,13,0,1,65,1194,9
26-59 Adulto,Homem,Rio Grande do Sul,7,1,10,87,0,2,8,0,1,9,0,23,45,2,20,0,1,72,1173,6
18-25 Jovem ,Mulher,Rio Grande do Sul,7,3,1,17,0,0,1,0,0,1,0,7,5,1,5,0,1,27,223,2
18-25 Jovem ,Homem,Rio Grande do Sul,7,3,2,14,0,0,2,0,0,2,0,4,10,1,1,1,1,27,243,2
26-59 Adulto,Homem,Rio Grande do Sul,7,3,10,83,0,3,7,0,0,10,0,22,42,5,16,0,0,60,1136,7
13-17 Adolescente,Homem,Rio Grande do Sul,7,3,1,4,0,0,1,0,0,1,0,1,1,0,1,0,0,13,182,1
60+ Idoso,Mulher,Rio Grande do Sul,7,4,12,68,0,2,10,0,0,12,0,8,21,2,6,0,0,65,703,3
26-59 Adulto,Mulher,Rio Grande do Sul,7,4,23,111,0,8,15,0,0,23,0,47,55,9,36,0,2,92,1288,5
60+ Idoso,Mulher,Rio Grande do Sul,7,2,9,61,0,1,8,0,0,9,0,6,13,0,6,0,0,60,628,4
26-59 Adulto,Mulher,Rio Grande do Sul,7,2,27,107,0,6,21,0,2,25,0,36,54,7,22,1,6,107,1281,6
18-25 Jovem ,Homem,Rio Grande do Sul,7,2,1,19,0,1,0,0,0,1,0,8,8,0,8,0,0,22,263,0
26-59 Adulto,Homem,Rio Grande do Sul,7,2,11,82,0,4,7,0,0,11,0,22,39,4,17,0,1,57,1207,5
60+ Idoso,Homem,Rio Grande do Sul,7,2,11,43,0,3,8,0,1,10,0,10,13,3,6,0,1,39,537,3
18-25 Jovem ,Mulher,Rio Grande do Sul,7,1,9,19,0,5,4,0,0,9,0,7,6,1,6,0,0,36,247,3
18-25 Jovem ,Homem,Rio Grande do Sul,7,1,4,16,0,1,3,0,0,4,0,4,4,0,4,0,0,28,251,3
18-25 Jovem ,Mulher,Rio Grande do Sul,7,2,6,28,0,2,4,0,1,5,0,7,12,0,7,0,0,25,249,1
0-12 Criança,Mulher,Rio Grande do Sul,7,2,5,6,0,0,5,0,0,5,0,1,3,0,1,0,0,27,333,4
60+ Idoso,Mulher,Rio Grande do Sul,7,3,9,55,0,1,8,0,0,9,0,7,7,0,6,0,1,63,660,2
18-25 Jovem ,Homem,Rio Grande do Sul,7,4,3,14,0,1,1,1,0,2,1,8,4,1,4,0,3,18,244,0
13-17 Adolescente,Mulher,Rio Grande do Sul,7,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,10,139,0
0-12 Criança,Homem,Rio Grande do Sul,7,1,0,18,0,0,0,0,0,0,0,3,2,0,3,0,0,42,337,3
13-17 Adolescente,Homem,Rio Grande do Sul,7,2,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,17,169,0
0-12 Criança,Homem,Rio Grande do Sul,7,4,2,16,0,0,2,0,0,2,0,2,4,0,2,0,0,55,362,2
60+ Idoso,Homem,Rio Grande do Sul,7,3,8,39,0,3,5,0,0,8,0,6,9,1,3,0,2,37,551,1
0-12 Criança,Homem,Rio Grande do Sul,7,2,6,12,0,1,5,0,0,6,0,0,6,0,0,0,0,47,339,0
0-12 Criança,Mulher,Rio Grande do Sul,7,4,2,9,0,1,1,0,0,2,0,1,1,0,1,0,0,31,316,4
18-25 Jovem ,Mulher,Rio Grande do Sul,7,4,4,15,0,1,3,0,0,4,0,6,11,0,6,0,0,21,228,1
13-17 Adolescente,Homem,Rio Grande do Sul,7,4,0,4,0,0,0,0,0,0,0,2,3,0,2,0,0,14,182,0
13-17 Adolescente,Mulher,Rio Grande do Sul,7,3,2,8,0,1,1,0,0,2,0,0,1,0,0,0,0,12,137,1
13-17 Adolescente,Mulher,Rio Grande do Sul,7,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,145,0
0-12 Criança,Homem,Rio Grande do Sul,7,3,5,12,0,1,4,0,0,5,0,1,2,0,1,0,0,42,338,1
0-12 Criança,Mulher,Rio Grande do Sul,7,3,3,10,0,0,3,0,0,3,0,0,0,0,0,0,0,29,339,2
13-17 Adolescente,Mulher,Rio Grande do Sul,7,1,1,11,0,0,1,0,0,1,0,0,3,0,0,0,0,22,138,1
13-17 Adolescente,Homem,Rio Grande do Sul,7,1,0,9,0,0,0,0,0,0,0,1,2,0,1,0,0,17,145,1
0-12 Criança,Mulher,Rio Grande do Sul,7,1,2,7,0,0,2,0,0,2,0,4,6,0,4,0,0,28,306,1
26-59 Adulto,Homem,Mato Grosso do Sul,7,2,4,17,0,1,3,0,0,4,0,17,19,1,9,0,7,11,495,5
26-59 Adulto,Mulher,Mato Grosso do Sul,7,2,11,28,0,1,10,0,0,11,0,16,14,5,9,0,2,23,534,2
60+ Idoso,Homem,Mato Grosso do Sul,7,4,2,7,0,0,2,0,0,2,0,2,5,1,1,0,0,4,167,3
60+ Idoso,Mulher,Mato Grosso do Sul,7,1,1,10,0,0,1,0,0,1,0,2,4,0,1,0,1,9,168,0
26-59 Adulto,Homem,Mato Grosso do Sul,7,1,4,17,1,0,4,0,0,4,0,12,20,0,11,0,1,13,506,4
26-59 Adulto,Homem,Mato Grosso do Sul,7,3,5,18,0,0,5,0,1,4,0,10,20,2,7,0,1,15,502,4
26-59 Adulto,Mulher,Mato Grosso do Sul,7,3,9,32,0,1,8,0,1,8,0,14,27,6,6,0,2,33,523,3
26-59 Adulto,Mulher,Mato Grosso do Sul,7,1,3,43,0,0,3,0,0,3,0,13,26,3,10,0,0,25,527,3
0-12 Criança,Homem,Mato Grosso do Sul,7,1,1,6,0,0,1,0,0,1,0,2,0,0,2,0,0,7,161,0
13-17 Adolescente,Homem,Mato Grosso do Sul,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,74,2
60+ Idoso,Homem,Mato Grosso do Sul,7,2,3,5,0,1,2,0,1,2,0,4,2,2,2,0,0,12,149,0
26-59 Adulto,Homem,Mato Grosso do Sul,7,4,7,26,0,2,5,0,0,7,0,19,26,8,9,0,2,12,488,3
60+ Idoso,Mulher,Mato Grosso do Sul,7,2,3,9,0,2,1,0,0,3,0,4,3,1,3,0,0,7,198,0
60+ Idoso,Mulher,Mato Grosso do Sul,7,3,6,8,0,1,5,0,0,6,0,4,4,0,3,0,1,15,191,2
26-59 Adulto,Mulher,Mato Grosso do Sul,7,4,9,39,0,0,9,0,0,9,0,16,34,2,12,1,1,16,511,2
18-25 Jovem ,Mulher,Mato Grosso do Sul,7,2,1,3,0,0,1,0,0,1,0,1,4,0,1,0,0,5,110,0
18-25 Jovem ,Mulher,Mato Grosso do Sul,7,4,4,8,0,0,4,0,0,4,0,6,8,2,3,0,1,5,131,1
13-17 Adolescente,Mulher,Mato Grosso do Sul,7,4,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,4,58,1
18-25 Jovem ,Homem,Mato Grosso do Sul,7,2,1,4,0,0,1,0,0,1,0,0,3,0,0,0,0,8,104,0
0-12 Criança,Homem,Mato Grosso do Sul,7,3,3,7,0,2,1,0,0,3,0,0,1,0,0,0,0,13,158,1
18-25 Jovem ,Mulher,Mato Grosso do Sul,7,1,2,5,0,0,2,0,0,2,0,3,1,1,2,0,0,5,99,2
0-12 Criança,Mulher,Mato Grosso do Sul,7,1,3,3,0,1,2,0,0,3,0,2,0,0,2,0,0,13,163,1
